Time (s),Filtered Accel X (m/s^2),Position (m)
18.277052640914917,0.1424484545560197,10.17693381813815
18.382957458496094,0.14258823368691959,10.32435616454854
18.488893270492554,0.14264493242547846,10.473421370613233
18.594873428344727,0.14248173013449236,10.624150182827785
18.700840950012207,0.1425169761216356,10.776461619776674
18.806764602661133,0.14234492110576918,10.930308766454386
18.912750244140625,0.14291837312873107,11.08584652778169
19.01867914199829,0.14245833181156442,11.242902222527897
19.12458896636963,0.14277166718934073,11.401529890337205
19.230584144592285,0.14270786477220726,11.56188772997
19.336517572402954,0.1423938501628529,11.72375336574367
19.442432641983032,0.14236322277337132,11.88718925809154
19.548316955566406,0.14245057479226392,12.052174357399288
19.654207706451416,0.14280729270060946,12.218767470718655
19.759555101394653,0.14251090722543971,12.386092902712495
19.865520477294922,0.14335741736609667,12.555998630519438
19.971452474594116,0.14270311908095062,12.727455579027641
20.077368021011353,0.14256571098824317,12.90048833337444
20.183289766311646,0.1427369120717677,13.075131537564378
20.28918433189392,0.14301013140095398,13.25133102233074
20.395098447799683,0.14232289981160362,13.429164454747578
20.50107169151306,0.14295176023356634,13.608698745746862
20.606974601745605,0.1425813073645274,13.789714875697712
20.71292734146118,0.1424884915156957,13.972417195090488
20.818882942199707,0.14264534065192666,14.156724786857078
20.924813985824585,0.14286666815250396,14.342590706775928
21.03074049949646,0.1429076653309817,14.530051231793657
21.136834859848022,0.14262943464538805,14.719415198877183
21.243046522140503,0.14260578666978885,14.910597353391214
21.346040725708008,0.1426156266212988,15.097524500594849
21.44889736175537,0.14265910595506529,15.285711870716941
21.55179190635681,0.1426358119933929,15.475478516670245
21.65446186065674,0.14270296293376117,15.666336378697732
21.7571804523468,0.1427443458963847,15.858789905160682
21.859882831573486,0.14254626490056463,16.05271817909593
21.962514877319336,0.1425456515786202,16.248016168147732
22.065166473388672,0.14245297505649793,16.444853027294393
22.167790174484253,0.14238948669870632,16.643136939160062
22.270427942276,0.14249625640293395,16.842948379179955
22.37303352355957,0.14248155684849553,17.044197262287007
22.475667715072632,0.14227126169458632,17.247002405716152
22.578271865844727,0.14201693290855746,17.451246068785313
22.680878400802612,0.14295127439420655,17.656992757650258
22.783508777618408,0.14222799638156158,17.864288419928084
22.8861346244812,0.14284837394679212,18.073076457916773
22.988797187805176,0.14245297505649793,18.283441813908752
23.09180736541748,0.1423439564292401,18.496029252627853
23.19450306892395,0.14272697752644745,18.70947250892161
23.297162771224976,0.14252698050739276,18.92434386910229
23.39981245994568,0.14269787364600886,19.140697121618594
23.5024516582489,0.14261606865857956,19.358530969157744
23.605090141296387,0.14268393326275924,19.57786610964438
23.7077534198761,0.14250324622997956,19.79875725371442
23.810373306274414,0.14296743399469647,20.02105772910063
23.912982940673828,0.14255904092599525,20.244839040883868
24.01560950279236,0.14268927384278682,20.47016002648222
24.11841630935669,0.14257162547782598,20.697382887122266
24.22113347053528,0.14259223556079514,20.92591288241604
24.323811531066895,0.1425323989605572,21.15585927808263
24.426434993743896,0.14256506425823068,21.387185136049997
24.52906107902527,0.1424276738821546,21.620017950165014
24.631664037704468,0.1425480356693096,21.8542985316648
24.734304189682007,0.14230904259002064,22.090164564492365
24.8369722366333,0.14280205895794498,22.327596465604536
24.93969702720642,0.14269715562092478,22.566664502114058
25.04239821434021,0.14271028969976476,22.807183194461494
25.145338773727417,0.1428868464503305,23.049773420435702
25.248074054718018,0.14259288134352222,23.293388255208978
25.350788354873657,0.14273965216093742,23.538459042003744
25.453489303588867,0.1424514321708878,23.78500246809965
25.556161642074585,0.14252530543965986,24.03298004361934
25.658835887908936,0.1426897109202581,24.282464952353006
25.761521816253662,0.14272754422321415,24.533482406225556
25.86415958404541,0.14259599465746908,24.785885602386024
25.966837406158447,0.14276573630579373,25.03989115127977
